suburb,state,postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,dob,age,gender,weekends,profitable
Wamberal,NSW,2260,9,Acq,27,20,47,1/01/1961,54,1,4,0
Forresters Beach,NSW,2260,1,Acq,46,0,46,na,,1,4,0
Terrigal,NSW,2260,1,Renewals,46,0,46,na,,1,4,0
Terrigal,NSW,2260,1,Renewals,45,0,45,1/01/1944,71,1,4,0
TERRIGAL,NSW,2260,1,Renewals,44.9,0,44.9,16/12/1959,56,1,4,0
Terrigal,NSW,2260,10,Acq,33,0,33,24/01/1947,68,1,4,0
Terrigal,NSW,2260,1,Acq,31.9,0,31.9,na,,1,4,0
FORRESTERS BEACH,NSW,2260,1,Acq,25,0,25,1/01/1945,70,1,4,0
TERRIGAL,NSW,2260,3,Renewals,25,0,25,na,,1,4,0
Terrigal,NSW,2260,1,Acq,20,0,20,1/07/1997,18,0,4,0
Wamberal,NSW,2260,1,Acq,20,0,20,15/01/1936,79,1,4,0
Terrigal,NSW,2260,1,Acq,0,20,20,30/05/1997,18,0,4,0
The Entrance North,NSW,2261,1,Acq,300,0,300,na,,0,4,1
Tumbi Umbi,NSW,2261,1,Acq,255,0,255,na,,0,4,1
Long Jetty,NSW,2261,1,Acq,255,0,255,na,,1,4,1
BATEAU BAY,NSW,2261,1,Renewals,240.5,0,240.5,27/06/1945,70,0,4,1
BATEAU BAY,NSW,2261,1,Renewals,230,0,230,11/04/1939,76,1,4,1
Long Jetty,NSW,2261,1,Acq,229,0,229,2/12/1961,54,0,4,1
Killarney Vale,NSW,2261,1,Acq,217.8,0,217.8,8/10/1949,66,0,4,1
Shelly Beach,NSW,2261,1,Renewals,206,0,206,na,,0,4,1
Shelly Beach,NSW,2261,1,Acq,187.5,0,187.5,18/09/1947,68,1,4,1
BATEAU BAY,NSW,2261,2,Renewals,178,0,178,30/03/1955,60,0,4,1
Bateau Bay,NSW,2261,3,Renewals,156.2,0,156.2,19/08/1948,67,1,4,1
The Entrance,NSW,2261,9,Acq,150,0,150,na,,1,4,1
BERKELEY VALE,NSW,2261,1,Renewals,150,0,150,2/09/1932,83,0,4,1
TUMBI UMBI,NSW,2261,1,Renewals,146,0,146,1/01/1937,78,0,4,1
SHELLY BEACH,NSW,2261,9,Acq,145,0,145,12/05/1939,76,0,4,1
Long Jetty,NSW,2261,3,Renewals,141.25,0,141.25,28/02/1942,73,0,4,1
CHITTAWAY BAY,NSW,2261,1,Acq,138,0,138,na,,1,4,1
Long Jetty,NSW,2261,1,Acq,132,0,132,20/12/1935,80,1,4,1
Bateau Bay,NSW,2261,1,Acq,131.4,0,131.4,9/12/1957,58,1,4,1
Bateau Bay,NSW,2261,1,Acq,127.3,0,127.3,20/05/1957,58,1,4,1
BATEAU BAY,NSW,2261,3,Renewals,125,0,125,20/04/1950,65,1,4,1
BATEAU BAY,NSW,2261,11,Renewals,122,0,122,25/07/1938,77,0,4,1
Killarney Vale,NSW,2261,2,Renewals,114.6,0,114.6,24/07/1940,75,0,4,1
Killarney Vale,NSW,2261,1,Acq,107.5,0,107.5,3/01/1939,76,1,4,1
Toowoon Bay,NSW,2261,1,Renewals,105.3,0,105.3,na,,1,4,1
Chittaway Point,NSW,2261,1,Acq,105,0,105,8/05/1946,69,0,4,1
Chittaway Point,NSW,2261,1,Acq,103,0,103,25/07/1935,80,1,4,1
BATEAU BAY,NSW,2261,1,Acq,0,100,100,26/03/1948,67,0,4,1
The Entrance,NSW,2261,1,Acq,100,0,100,na,,0,4,1
TUMBI UMBI,NSW,2261,1,Renewals,91.35,0,91.35,na,,0,4,1
Tumbi Umbi,NSW,2261,1,Acq,90,0,90,na,,1,4,1
Bateau Bay,NSW,2261,1,Acq,90,0,90,na,,1,4,1
Chittaway Bay,NSW,2261,1,Acq,87,0,87,na,,1,4,1
Tumbi Umbi,NSW,2261,9,Acq,85,0,85,1/01/1974,41,1,4,1
Long Jetty,NSW,2261,1,Acq,85,0,85,na,,1,4,1
BERKELEY VALE,NSW,2261,1,Acq,83.05,0,83.05,na,,1,4,1
Glenning Valley,NSW,2261,1,Acq,80,0,80,17/08/1961,54,1,4,1
Bateau Bay,NSW,2261,1,Acq,80,0,80,5/05/1950,65,0,4,1
Bateau Bay,NSW,2261,1,Renewals,80,0,80,1/06/1952,63,1,4,1
Glenning Valley,NSW,2261,10,Acq,79,0,79,21/06/1982,33,1,4,1
CHITTAWAY BAY,NSW,2261,1,Renewals,78,0,78,na,,1,4,1
BATEAU BAY,NSW,2261,2,Renewals,77.8,0,77.8,na,,1,4,1
Shelly Beach,NSW,2261,1,Renewals,77,0,77,na,,1,4,1
Shelly Beach,NSW,2261,2,Renewals,77,0,77,na,,0,4,1
BATEAU BAY,NSW,2261,1,Renewals,76,0,76,11/04/1939,76,1,4,1
BERKELEY VALE,NSW,2261,1,Renewals,75.25,0,75.25,na,,1,4,1
Long Jetty,NSW,2261,1,Renewals,75,0,75,16/10/1936,79,1,4,0
Bateau Bay,NSW,2261,1,Renewals,74.75,0,74.75,10/09/1941,74,0,4,0
BATEAU BAY,NSW,2261,2,Acq,74.4,0,74.4,na,,1,4,0
Killarney Vale,NSW,2261,9,Acq,70,0,70,8/05/1949,66,1,4,0
Killarney Vale,NSW,2261,1,Acq,70,0,70,2/09/1936,79,1,4,0
Chittaway Bay,NSW,2261,1,Acq,70,0,70,na,,1,4,0
Long Jetty,NSW,2261,1,Renewals,70,0,70,16/10/1937,78,1,4,0
Chittaway Bay,NSW,2261,9,Acq,69,0,69,na,,1,4,0
KILLARNEY VALE,NSW,2261,1,Acq,69,0,69,23/09/1943,72,1,4,0
The Entrance,NSW,2261,1,Acq,65,0,65,na,,0,4,0
Shelly Beach,NSW,2261,1,Acq,44.4,20,64.4,na,,1,4,0
BATEAU BAY,NSW,2261,10,Acq,64,0,64,1/01/1960,55,1,4,0
Bateau Bay,NSW,2261,1,Renewals,53,10,63,na,,0,4,0
Berkeley Vale,NSW,2261,1,Acq,60,0,60,16/12/1963,52,1,4,0
The Entrance,NSW,2261,1,Acq,60,0,60,na,,1,4,0
Glenning Valley,NSW,2261,9,Acq,60,0,60,na,,1,4,0
Berkeley Vale,NSW,2261,9,Acq,60,0,60,na,,1,4,0
The Entrance,NSW,2261,1,Renewals,40,20,60,4/10/1950,65,1,4,0
Chittaway Bay,NSW,2261,1,Acq,59,0,59,27/08/1961,54,1,4,0
Chittaway Bay,NSW,2261,1,Acq,59,0,59,27/08/1961,54,1,4,0
Berkeley Vale,NSW,2261,2,Acq,55.15,0,55.15,na,,1,4,0
Tumbi Umbi,NSW,2261,1,Acq,55,0,55,19/08/1974,41,1,4,0
LONG JETTY,NSW,2261,1,Acq,55,0,55,na,,1,4,0
Toowoon Bay,NSW,2261,1,Acq,55,0,55,na,,1,4,0
BATEAU BAY,NSW,2261,1,Renewals,53,0,53,13/05/1948,67,1,4,0
Berkeley Vale,NSW,2261,1,Acq,52.25,0,52.25,na,,0,4,0
BERKELEY VALE,NSW,2261,1,Renewals,52,0,52,na,,1,4,0
Long Jetty,NSW,2261,1,Acq,51,0,51,na,,1,4,0
Toowoon Bay,NSW,2261,1,Renewals,51,0,51,na,,1,4,0
KILLARNEY VALE,NSW,2261,1,Acq,50,0,50,3/12/1952,63,0,4,0
Bateau Bay,NSW,2261,1,Acq,0,50,50,1/01/1943,72,1,4,0
Tumbi Umbi,NSW,2261,2,Acq,50,0,50,15/02/1958,57,1,4,0
BATEAU BAY,NSW,2261,1,Renewals,50,0,50,na,,1,4,0
Long Jetty,NSW,2261,1,Renewals,50,0,50,na,,0,4,0
BERKELEY VALE,NSW,2261,2,Renewals,50,0,50,na,,1,4,0
Chittaway Bay,NSW,2261,1,Renewals,47,0,47,na,,1,4,0
Berkeley Vale,NSW,2261,9,Acq,46.2,0,46.2,12/03/1954,61,1,4,0
LONG JETTY,NSW,2261,1,Renewals,36,10,46,na,,1,4,0
Chittaway Point,NSW,2261,1,Acq,45,0,45,na,,0,4,0
BATEAU BAY,NSW,2261,9,Acq,44,0,44,na,,0,4,0
Bateau Bay,NSW,2261,1,Acq,41.3,0,41.3,20/02/1953,62,0,4,0
Long Jetty,NSW,2261,1,Acq,40,0,40,na,,0,4,0
Long Jetty,NSW,2261,1,Acq,40,0,40,1/01/1963,52,0,4,0
Chittaway Bay,NSW,2261,1,Acq,40,0,40,12/07/1954,61,1,4,0
BERKELEY VALE,NSW,2261,1,Renewals,40,0,40,na,,0,4,0
Killarney Vale,NSW,2261,1,Acq,38.8,0,38.8,25/03/1964,51,0,4,0
Long Jetty,NSW,2261,1,Acq,37.8,0,37.8,7/01/1954,61,1,4,0
Berkeley Vale,NSW,2261,1,Renewals,37,0,37,na,,1,4,0
CHITTAWAY BAY,NSW,2261,1,Acq,30,5,35,21/10/1945,70,1,4,0
Long Jetty,NSW,2261,1,Acq,34,0,34,28/07/1940,75,1,4,0
Long Jetty,NSW,2261,1,Renewals,32,0,32,10/05/1977,38,1,4,0
The Entrance,NSW,2261,1,Acq,30.15,0,30.15,12/06/1957,58,1,4,0
Long Jetty,NSW,2261,1,Acq,30,0,30,na,,1,4,0
Bateau Bay,NSW,2261,1,Renewals,30,0,30,na,,0,4,0
Berkeley Vale,NSW,2261,1,Renewals,28.8,0,28.8,na,,1,4,0
Tumbi Umbi,NSW,2261,9,Acq,26.95,0,26.95,1/01/1968,47,1,4,0
The Entrance,NSW,2261,1,Acq,0,25,25,na,,0,4,0
Bateau Bay,NSW,2261,1,Acq,24,0,24,16/06/1977,38,1,4,0
THE ENTRANCE NORTH,NSW,2261,1,Acq,23,0,23,21/04/1959,56,0,4,0
Tumbi Umbi,NSW,2261,1,Acq,0,20,20,17/07/1945,70,1,4,0
Killarney Vale,NSW,2261,2,Acq,0,20,20,na,,0,4,0
The Entrance,NSW,2261,1,Acq,20,0,20,7/04/1931,84,1,4,0
The Entrance,NSW,2261,1,Acq,0,20,20,14/07/1935,80,1,4,0
Berkeley Vale,NSW,2261,1,Acq,20,0,20,na,,1,4,0
BATEAU BAY,NSW,2261,1,Renewals,20,0,20,6/01/1971,44,1,4,0
Glenning Valley,NSW,2261,1,Renewals,20,0,20,9/05/1941,74,0,4,0
TUMBI UMBI,NSW,2261,1,Renewals,20,0,20,na,,1,4,0
BATEAU BAY,NSW,2261,2,Renewals,20,0,20,11/02/1938,77,0,4,0
Killarney Vale,NSW,2261,1,Acq,18,0,18,na,,1,4,0
Berkeley Vale,NSW,2261,1,Acq,16,0,16,na,,1,4,0
Bateau Bay,NSW,2261,10,Acq,10,0,10,1/01/1962,53,1,4,0
Long Jetty,NSW,2261,1,Acq,0,10,10,na,,1,4,0
BERKELEY VALE,NSW,2261,2,Renewals,10,0,10,31/03/1938,77,1,4,0
Budgewoi,NSW,2262,1,Acq,200,0,200,6/11/1958,57,1,4,1
BUDGEWOI,NSW,2262,1,Renewals,138,0,138,29/03/1948,67,1,4,1
Doyalson North,NSW,2262,1,Renewals,131,0,131,na,,1,4,1
BUDGEWOI,NSW,2262,1,Renewals,120,0,120,8/10/1945,70,0,4,1
BUDGEWOI,NSW,2262,1,Renewals,110,0,110,na,,1,4,1
Budgewoi,NSW,2262,2,Acq,106.6,0,106.6,na,,1,4,1
Blue Haven,NSW,2262,1,Acq,104,0,104,na,,1,4,1
Blue Haven,NSW,2262,9,Acq,100,0,100,na,,1,4,1
BUDGEWOI,NSW,2262,1,Acq,100,0,100,25/05/1938,77,0,4,1
Budgewoi,NSW,2262,9,Acq,97.6,0,97.6,14/10/1963,52,1,4,1
Budgewoi,NSW,2262,1,Acq,93.05,0,93.05,na,,1,4,1
BUDGEWOI,NSW,2262,1,Renewals,92.15,0,92.15,na,,1,4,1
Blue Haven,NSW,2262,2,Renewals,89,0,89,na,,0,4,1
BUDGEWOI,NSW,2262,1,Renewals,81,0,81,22/10/1937,78,1,4,1
San Remo,NSW,2262,1,Acq,79,0,79,na,,0,4,1
Buff Point,NSW,2262,2,Acq,72,0,72,na,,1,4,0
BLUE HAVEN,NSW,2262,1,Acq,70,0,70,22/03/1942,73,1,4,0
Buff Point,NSW,2262,1,Acq,65,0,65,na,,1,4,0
Halekulani,NSW,2262,1,Acq,63,0,63,1/01/1970,45,1,4,0
Budgewoi,NSW,2262,1,Acq,0,60,60,na,,0,4,0
Budgewoi,NSW,2262,1,Acq,0,60,60,na,,0,4,0
BLUE HAVEN,NSW,2262,2,Renewals,60,0,60,na,,0,4,0
BUDGEWOI,NSW,2262,1,Renewals,55.75,0,55.75,na,,0,4,0
BUDGEWOI,NSW,2262,9,Acq,54.7,0,54.7,na,,1,4,0
Budgewoi,NSW,2262,9,Acq,50,0,50,28/03/1931,84,1,4,0
HALEKULANI,NSW,2262,1,Renewals,50,0,50,1/01/1942,73,0,4,0
Budgewoi,NSW,2262,1,Renewals,0,50,50,na,,1,4,0
BLUE HAVEN,NSW,2262,2,Renewals,50,0,50,na,,1,4,0
BLUE HAVEN,NSW,2262,1,Renewals,50,0,50,na,,0,4,0
BUDGEWOI,NSW,2262,1,Acq,45,0,45,30/05/1950,65,1,4,0
Halekulani,NSW,2262,1,Renewals,44,0,44,1/03/1956,59,1,4,0
SAN REMO,NSW,2262,1,Acq,39.45,0,39.45,4/06/1933,82,0,4,0
Blue Haven,NSW,2262,1,Acq,34,0,34,na,,1,4,0
Buff Point,NSW,2262,1,Acq,33,0,33,10/05/1958,57,0,4,0
San Remo,NSW,2262,1,Renewals,31,0,31,na,,0,4,0
BUDGEWOI,NSW,2262,1,Acq,26,0,26,1/01/1959,56,1,4,0
San Remo,NSW,2262,1,Acq,0,10,10,24/02/1944,71,1,4,0
BUDGEWOI,NSW,2262,1,Acq,0,10,10,1/01/1938,77,0,4,0
Budgewoi,NSW,2262,1,Acq,0,-60,-60,na,,0,4,0
Toukley,NSW,2263,1,Renewals,320,0,320,11/10/1949,66,1,4,1
Canton Beach,NSW,2263,1,Acq,311,0,311,na,,1,4,1
Noraville,NSW,2263,9,Acq,163.5,0,163.5,24/12/1945,70,0,4,1
Gorokan,NSW,2263,1,Acq,150,0,150,na,,1,4,1
Gorokan,NSW,2263,9,Acq,150,0,150,na,,0,4,1
CHARMHAVEN,NSW,2263,1,Renewals,134,0,134,29/03/1933,82,1,4,1
Lake Haven,NSW,2263,2,Renewals,132,0,132,na,,0,4,1
LAKE HAVEN,NSW,2263,2,Renewals,123.5,0,123.5,1/01/1952,63,1,4,1
LAKE HAVEN,NSW,2263,1,Renewals,122,0,122,5/01/1939,76,0,4,1
NORAH HEAD,NSW,2263,3,Renewals,120,0,120,16/04/1936,79,1,4,1
Toukley,NSW,2263,1,Renewals,120,0,120,13/05/1946,69,1,4,1
Toukley,NSW,2263,1,Renewals,111.95,0,111.95,na,,0,4,1
Noraville,NSW,2263,9,Acq,100,0,100,na,,1,4,1
Lake Haven,NSW,2263,1,Renewals,96,0,96,14/11/1943,72,0,4,1
Noraville,NSW,2263,1,Acq,93.85,0,93.85,2/07/1962,53,1,4,1
Toukley,NSW,2263,2,Acq,92.5,0,92.5,28/11/1945,70,1,4,1
BUDGEWOI,NSW,2263,1,Acq,92,0,92,na,,0,4,1
GOROKAN,NSW,2263,2,Renewals,90,0,90,na,,1,4,1
NORAVILLE,NSW,2263,1,Renewals,89,0,89,na,,1,4,1
LAKE HAVEN,NSW,2263,1,Renewals,80,0,80,na,,1,4,1
Gorokan,NSW,2263,1,Acq,78.45,0,78.45,23/04/1947,68,1,4,1
Toukley,NSW,2263,9,Acq,77,0,77,na,,1,4,1
TOUKLEY,NSW,2263,1,Acq,76.3,0,76.3,na,,1,4,1
Charmhaven,NSW,2263,1,Acq,75.75,0,75.75,na,,0,4,1
Lake Haven,NSW,2263,1,Renewals,75,0,75,17/05/1958,57,1,4,0
Gorokan,NSW,2263,1,Renewals,73.2,0,73.2,4/03/1967,48,1,4,0
Lake Haven,NSW,2263,1,Renewals,70.75,0,70.75,na,,1,4,0
Gorokan,NSW,2263,1,Acq,68.7,0,68.7,10/09/1947,68,0,4,0
Toukley,NSW,2263,1,Renewals,65,0,65,17/10/1953,62,1,4,0
NORAH HEAD,NSW,2263,10,Acq,60,0,60,na,,1,4,0
TOUKLEY,NSW,2263,1,Renewals,60,0,60,15/12/1948,67,1,4,0
Lake Haven,NSW,2263,1,Renewals,59.35,0,59.35,1/11/1959,56,1,4,0
CANTON BEACH,NSW,2263,3,Renewals,56,0,56,na,,0,4,0
Canton Beach,NSW,2263,6,Renewals,54.8,0,54.8,26/06/1951,64,1,4,0
Charmhaven,NSW,2263,1,Acq,54.5,0,54.5,na,,1,4,0
CHARMHAVEN,NSW,2263,1,Renewals,52,0,52,na,,1,4,0
Toukley,NSW,2263,1,Acq,50,0,50,25/02/1971,44,0,4,0
Lake Haven,NSW,2263,9,Acq,50,0,50,4/05/1996,19,1,4,0
Gorokan,NSW,2263,1,Acq,50,0,50,na,,1,4,0
Norah Head,NSW,2263,1,Renewals,50,0,50,na,,1,4,0
Gorokan,NSW,2263,2,Acq,48.2,0,48.2,1/01/1965,50,1,4,0
LAKE HAVEN,NSW,2263,2,Renewals,48,0,48,31/10/1936,79,1,4,0
Charmhaven,NSW,2263,1,Acq,43,0,43,na,,0,4,0
Noraville,NSW,2263,1,Renewals,37,0,37,na,,0,4,0
Gorokan,NSW,2263,1,Acq,36.6,0,36.6,na,,0,4,0
Canton Beach,NSW,2263,1,Acq,35,0,35,1/02/1944,71,1,4,0
Noraville,NSW,2263,1,Renewals,35,0,35,1/12/1961,54,0,4,0
CANTON BEACH,NSW,2263,1,Renewals,32.2,0,32.2,4/07/1934,81,0,4,0
TOUKLEY,NSW,2263,1,Acq,31,0,31,na,,1,4,0
Toukley,NSW,2263,1,Acq,31,0,31,na,,1,4,0
Gorokan,NSW,2263,9,Acq,30,0,30,1/01/1946,69,0,4,0
Noraville,NSW,2263,1,Renewals,29,0,29,na,,0,4,0
Lake Haven,NSW,2263,1,Acq,25,0,25,na,,1,4,0
Noraville,NSW,2263,1,Renewals,25,0,25,na,,1,4,0
Lake Haven,NSW,2263,1,Acq,21,0,21,22/04/1946,69,1,4,0
Toukley,NSW,2263,1,Renewals,20,0,20,na,,0,4,0
Gorokan,NSW,2263,1,Renewals,17.45,0,17.45,16/07/1965,50,1,4,0
MIRRABOOKA,NSW,2264,1,Renewals,334.75,0,334.75,na,,0,4,1
Morisset,NSW,2264,2,Renewals,325.25,0,325.25,10/01/1939,76,1,4,1
BONNELLS BAY,NSW,2264,4,Renewals,295,0,295,30/11/1928,87,1,4,1
Eraring,NSW,2264,1,Acq,215,0,215,16/02/1958,57,0,4,1
BONNELLS BAY,NSW,2264,1,Renewals,208,0,208,na,,0,4,1
Dora Creek,NSW,2264,1,Renewals,194,0,194,na,,1,4,1
Morisset,NSW,2264,1,Acq,185,0,185,na,,1,4,1
Morisset,NSW,2264,1,Renewals,157,20,177,15/03/1935,80,0,4,1
Morisset Park,NSW,2264,1,Acq,0,150,150,na,,1,4,1
Bonnells Bay,NSW,2264,11,Acq,150,0,150,24/01/1941,74,0,4,1
Bonnells Bay,NSW,2264,1,Acq,120,0,120,22/01/1943,72,1,4,1
DORA CREEK,NSW,2264,1,Renewals,112.75,0,112.75,na,,1,4,1
BRIGHTWATERS,NSW,2264,1,Renewals,110.8,0,110.8,na,,0,4,1
DORA CREEK,NSW,2264,2,Renewals,106,0,106,na,,1,4,1
BRIGHTWATERS,NSW,2264,2,Acq,104.75,0,104.75,na,,1,4,1
Yarrawonga Park,NSW,2264,1,Acq,100,0,100,na,,0,4,1
DORA CREEK,NSW,2264,1,Acq,100,0,100,na,,0,4,1
Morisset Park,NSW,2264,1,Renewals,100,0,100,2/03/1953,62,1,4,1
MIRRABOOKA,NSW,2264,1,Renewals,0,100,100,7/04/1942,73,1,4,1
Brightwaters,NSW,2264,1,Renewals,96.8,0,96.8,na,,1,4,1
MORISSET,NSW,2264,10,Acq,96,0,96,30/04/1949,66,1,4,1
BALCOLYN,NSW,2264,1,Renewals,93.2,0,93.2,1/01/1938,77,0,4,1
Balcolyn,NSW,2264,9,Acq,90,0,90,18/05/1965,50,1,4,1
Bonnells Bay,NSW,2264,1,Renewals,85,0,85,1/01/1931,84,1,4,1
Windermere Park,NSW,2264,1,Renewals,76.65,0,76.65,na,,0,4,1
Morisset Park,NSW,2264,9,Acq,75,0,75,na,,0,4,0
BONNELLS BAY,NSW,2264,1,Acq,71,0,71,na,,0,4,0
Bonnells Bay,NSW,2264,2,Renewals,71,0,71,4/09/1977,38,0,4,0
Bonnells Bay,NSW,2264,1,Renewals,63.1,0,63.1,25/11/1946,69,0,4,0
Yarrawonga Park,NSW,2264,1,Acq,62,0,62,7/01/1964,51,1,4,0
BALCOLYN,NSW,2264,1,Acq,55,0,55,na,,1,4,0
Dora Creek,NSW,2264,1,Renewals,53.55,0,53.55,na,,1,4,0
Brightwaters,NSW,2264,1,Acq,52,0,52,22/01/1962,53,0,4,0
Bonnells Bay,NSW,2264,9,Acq,52,0,52,na,,1,4,0
Bonnells Bay,NSW,2264,1,Acq,50,0,50,na,,0,4,0
Bonnells Bay,NSW,2264,1,Acq,50,0,50,na,,0,4,0
MORISSET,NSW,2264,9,Acq,50,0,50,na,,1,4,0
Brightwaters,NSW,2264,2,Acq,45,0,45,12/05/1949,66,1,4,0
WINDERMERE PARK,NSW,2264,1,Acq,42,0,42,6/06/1943,72,0,4,0
DORA CREEK,NSW,2264,9,Acq,42,0,42,1/01/1947,68,1,4,0
DORA CREEK,NSW,2264,1,Acq,0,40,40,24/03/1951,64,1,4,0
Bonnells Bay,NSW,2264,9,Acq,40,0,40,na,,1,4,0
Bonnells Bay,NSW,2264,2,Acq,17,20,37,na,,1,4,0
Balcolyn,NSW,2264,9,Acq,32.5,0,32.5,na,,1,4,0
Dora Creek,NSW,2264,1,Acq,32.5,0,32.5,27/01/1959,56,1,4,0
DORA CREEK,NSW,2264,9,Acq,30,0,30,16/05/1943,72,1,4,0
Yarrawonga Park,NSW,2264,1,Acq,26,0,26,na,,1,4,0
WINDERMERE PARK,NSW,2264,1,Renewals,26,0,26,na,,1,4,0
Bonnells Bay,NSW,2264,1,Acq,25,0,25,5/01/1944,71,1,4,0
Bonnells Bay,NSW,2264,1,Acq,20,0,20,11/09/1950,65,0,4,0
BONNELLS BAY,NSW,2264,4,Renewals,20,0,20,30/11/1928,87,1,4,0
MORISSET,NSW,2264,1,Renewals,10,0,10,30/10/1968,47,0,4,0
Cooranbong,NSW,2265,1,Renewals,515,0,515,na,,0,4,1
Cooranbong,NSW,2265,1,Acq,235,0,235,na,,1,4,1
COORANBONG,NSW,2265,2,Renewals,172.5,0,172.5,na,,1,4,1
Cooranbong,NSW,2265,1,Acq,150,0,150,na,,1,4,1
Cooranbong,NSW,2265,1,Acq,130,0,130,na,,0,4,1
Cooranbong,NSW,2265,1,Renewals,111,0,111,1/01/1930,85,1,4,1
COORANBONG,NSW,2265,2,Acq,110,0,110,15/07/1936,79,1,4,1
COORANBONG,NSW,2265,1,Renewals,100,0,100,na,,0,4,1
COORANBONG,NSW,2265,3,Renewals,96.7,0,96.7,25/08/1940,75,0,4,1
Cooranbong,NSW,2265,1,Acq,93,0,93,9/07/1948,67,0,4,1
Cooranbong,NSW,2265,2,Acq,85,0,85,na,,0,4,1
Cooranbong,NSW,2265,1,Acq,66,0,66,16/10/1943,72,1,4,0
Martinsville,NSW,2265,9,Acq,64.25,0,64.25,31/10/1941,74,0,4,0
COORANBONG,NSW,2265,1,Renewals,52.25,0,52.25,21/02/1943,72,1,4,0
Cooranbong,NSW,2265,1,Acq,37.5,0,37.5,na,,0,4,0
COORANBONG,NSW,2265,1,Acq,32,0,32,na,,0,4,0
Cooranbong,NSW,2265,9,Acq,30.05,0,30.05,5/01/1997,18,1,4,0
COORANBONG,NSW,2265,1,Renewals,20,0,20,19/05/1958,57,0,4,0
Wangi Wangi,NSW,2267,1,Acq,229.2,0,229.2,26/12/1931,84,1,4,1
WANGI WANGI,NSW,2267,10,Acq,154,0,154,na,,1,4,1
WANGI WANGI,NSW,2267,1,Renewals,147.1,0,147.1,11/08/1943,72,1,4,1
Wangi Wangi,NSW,2267,10,Acq,138,0,138,na,,1,4,1
Wangi Wangi,NSW,2267,1,Acq,132,0,132,na,,1,4,1
Wangi Wangi,NSW,2267,1,Acq,108.7,0,108.7,na,,0,4,1
Wangi Wangi,NSW,2267,1,Acq,100,0,100,na,,1,4,1
Wangi Wangi,NSW,2267,1,Acq,77,0,77,28/03/1939,76,1,4,1
Wangi Wangi,NSW,2267,1,Renewals,60,0,60,na,,1,4,0
Wangi Wangi,NSW,2267,1,Acq,50,0,50,28/03/1939,76,1,4,0
Wangi Wangi,NSW,2267,1,Acq,50,0,50,na,,0,4,0
WANGI WANGI,NSW,2267,1,Acq,30,0,30,28/01/1958,57,1,4,0
Wangi Wangi,NSW,2267,9,Acq,0,20,20,na,,1,4,0
KILLINGWORTH,NSW,2278,1,Renewals,91,0,91,6/03/1977,38,1,4,1
Barnsley,NSW,2278,1,Acq,81.85,0,81.85,na,,1,4,1
BARNSLEY,NSW,2278,1,Renewals,67,0,67,na,,0,4,0
Killingworth,NSW,2278,1,Acq,57,0,57,na,,0,4,0
Barnsley,NSW,2278,1,Renewals,43,0,43,10/06/1947,68,1,4,0
BARNSLEY,NSW,2278,9,Acq,20,0,20,5/07/1962,53,0,4,0
BARNSLEY,NSW,2278,2,Renewals,20,0,20,na,,0,4,0
Killingworth,NSW,2278,1,Acq,14,0,14,22/12/1997,18,0,4,0
BELMONT,NSW,2280,1,Acq,549,0,549,na,,1,4,1
Jewells,NSW,2280,1,Renewals,500,0,500,24/04/1948,67,0,4,1
Belmont North,NSW,2280,1,Acq,198,0,198,17/10/1942,73,0,4,1
Belmont,NSW,2280,1,Renewals,167,0,167,na,,1,4,1
Belmont North,NSW,2280,1,Acq,162.15,0,162.15,26/11/1938,77,1,4,1
Valentine,NSW,2280,9,Acq,150,0,150,3/09/1952,63,1,4,1
CROUDACE BAY,NSW,2280,1,Renewals,144,0,144,13/11/1945,70,0,4,1
Valentine,NSW,2280,1,Acq,131.7,0,131.7,na,,1,4,1
Floraville,NSW,2280,9,Acq,130,0,130,12/05/1942,73,1,4,1
Floraville,NSW,2280,9,Acq,130,0,130,12/05/1942,73,1,4,1
Floraville,NSW,2280,9,Acq,130,0,130,12/05/1942,73,1,4,1
Floraville,NSW,2280,1,Renewals,120,0,120,19/11/1956,59,1,4,1
Valentine,NSW,2280,9,Acq,118,0,118,na,,1,4,1
Valentine,NSW,2280,1,Acq,118,0,118,12/07/1945,70,1,4,1
BELMONT NORTH,NSW,2280,1,Renewals,117,0,117,2/06/1940,75,0,4,1
Belmont North,NSW,2280,1,Acq,115.65,0,115.65,2/10/1960,55,1,4,1
VALENTINE,NSW,2280,10,Acq,115,0,115,na,,0,4,1
Valentine,NSW,2280,1,Renewals,112,0,112,na,,1,4,1
Valentine,NSW,2280,1,Renewals,109,0,109,7/10/1936,79,0,4,1
BELMONT,NSW,2280,1,Renewals,108.1,0,108.1,na,,0,4,1
Valentine,NSW,2280,1,Renewals,105,0,105,21/07/1959,56,1,4,1
BELMONT NORTH,NSW,2280,1,Acq,103.85,0,103.85,na,,0,4,1
BELMONT,NSW,2280,1,Renewals,100,0,100,na,,1,4,1
Belmont North,NSW,2280,9,Acq,90,6,96,na,,1,4,1
Belmont,NSW,2280,1,Acq,89,0,89,na,,0,4,1
VALENTINE,NSW,2280,2,Renewals,88.7,0,88.7,2/02/1995,20,1,4,1
BELMONT,NSW,2280,1,Renewals,87,0,87,22/09/1931,84,0,4,1
Jewells,NSW,2280,1,Acq,85.2,0,85.2,20/06/1931,84,1,4,1
Belmont,NSW,2280,1,Acq,85,0,85,1/01/1944,71,0,4,1
